435027967	799460462	65535	29301	6	0	715
1629310976	799460462	65535	65535	17	4294967295	802
487063807	469300813	0	65535	6	0	765
1143823616	734452341	65535	139	6	4294967295	355
487064063	799460462	65535	2314	6	4294967295	365
435027968	1162166356	65535	2854	6	0	703
404819327	799460462	65535	1024	17	4294967295	766
435093504	1162668768	0	88	6	4294967295	744
435062848	1138868197	65535	65535	4	4294967295	729
435062879	1162166358	65535	514	6	0	241
1236746300	734452341	0	25	6	0	2
435060736	469300813	65535	3337	6	0	523
435060736	799460464	0	7113	6	4294967295	650
435060736	799460464	0	7113	6	4294967295	650
435060736	799460464	0	7113	6	4294967295	650
435060736	799460464	0	7113	6	4294967295	650
435060736	799460464	0	7113	6	4294967295	650
435062847	469300813	0	1024	17	4294967295	742
309071359	799460462	0	514	6	4294967295	360
1651976063	4225693440	0	754	6	4294967295	582
494163968	0	0	3110	17	4294967295	1024
4294967295	466684336	0	3350	17	4294967295	856
435062858	799460462	65535	53	6	0	59
1629302688	1162167263	65535	5015	6	4294967295	476
1629302667	799460460	65535	383	6	0	159
487071744	799460460	65535	0	0	0	926
435062880	3737980809	0	514	6	4294967295	278
1629302720	3722767836	65535	65535	6	0	782
435062858	1162668764	65535	3456	6	0	55
435062858	1162167281	65535	123	17	4294967295	127
1143823616	734452341	0	139	6	4294967295	355
1629302272	799460460	65535	69	17	4294967295	425
309084160	1652001647	65535	80	6	4294967295	714
435062858	1162166719	0	80	6	4294967295	66
309198847	0	0	8991	6	4294967295	1062
434634751	1163919359	0	5730	6	0	941
435062784	1162666000	0	1825	6	4294967295	303
435159039	469300813	0	3001	6	0	673
1651976063	799460462	65535	4120	17	4294967295	616
2542517951	4294967295	0	514	17	0	919
435062879	1162166355	0	123	6	4294967295	310
435062855	1138868197	65535	0	4	0	729
435062847	0	0	9000	6	4294967295	921
1143857151	1629483839	65535	9993	17	0	705
309070976	799460461	65535	4001	6	4294967295	287
435062783	799460462	65535	80	6	0	524
404824064	799460462	65535	5190	6	4294967295	577
