251.220.122.133/32	182.153.90.62/32	0 : 65535	123 : 123	0x06/0xFF	0x0000/0x0000	
251.222.5.102/32	251.215.50.75/32	0 : 65535	8080 : 8080	0x06/0xFF	0x0000/0x0000	
73.183.64.60/32	43.198.218.117/32	0 : 65535	25 : 25	0x06/0xFF	0x0000/0x0000	
68.45.92.126/32	43.198.218.117/32	0 : 65535	443 : 443	0x06/0xFF	0x0000/0x0000	
68.45.75.37/32	251.215.5.85/32	0 : 65535	8080 : 8080	0x11/0xFF	0x0000/0x0000	
68.45.195.173/32	43.198.218.117/32	0 : 65535	25 : 25	0x06/0xFF	0x0000/0x0000	
68.45.195.173/32	43.198.218.117/32	0 : 65535	3015 : 3015	0x11/0xFF	0x0000/0x0000	
110.210.238.131/32	43.198.218.117/32	0 : 65535	80 : 80	0x06/0xFF	0x0000/0x0000	
110.210.238.131/32	69.69.67.242/32	0 : 65535	1701 : 1701	0x11/0xFF	0x0000/0x0000	
98.119.39.95/32	69.69.67.242/32	0 : 65535	5015 : 5015	0x06/0xFF	0x0000/0x0000	
98.119.39.95/32	69.69.67.242/32	0 : 65535	53 : 53	0x06/0xFF	0x0000/0x0000	
97.29.126.193/32	47.166.204.110/32	0 : 65535	53 : 53	0x11/0xFF	0x0000/0x0000	
97.29.126.193/32	47.166.204.110/32	0 : 65535	3106 : 3106	0x06/0xFF	0x0000/0x0000	
97.29.86.89/32	47.166.204.110/32	0 : 65535	88 : 88	0x06/0xFF	0x0000/0x0000	
97.29.86.243/32	98.119.175.59/32	0 : 65535	25 : 25	0x11/0xFF	0x0000/0x0000	
97.29.86.243/32	69.69.67.242/32	0 : 65535	443 : 443	0x06/0xFF	0x0000/0x0000	
97.29.47.136/32	97.29.236.32/32	0 : 65535	3015 : 3015	0x11/0xFF	0x0000/0x0000	
97.29.47.136/32	47.166.204.110/32	0 : 65535	123 : 123	0x06/0xFF	0x0000/0x0000	
97.29.47.136/32	47.166.204.110/32	0 : 65535	9993 : 9993	0x06/0xFF	0x0000/0x0000	
97.29.47.137/32	47.166.204.110/32	0 : 65535	514 : 514	0x11/0xFF	0x0000/0x0000	
97.29.47.137/32	69.69.67.242/32	0 : 65535	123 : 123	0x11/0xFF	0x0000/0x0000	
18.107.107.77/32	221.230.129.102/32	0 : 65535	143 : 143	0x11/0xFF	0x0000/0x0000	
18.107.107.111/32	47.166.204.110/32	0 : 65535	4001 : 4001	0x11/0xFF	0x0000/0x0000	
18.108.12.163/32	100.180.171.126/32	0 : 65535	143 : 143	0x11/0xFF	0x0000/0x0000	
18.108.12.163/32	100.180.171.149/32	0 : 65535	443 : 443	0x06/0xFF	0x0000/0x0000	
18.108.12.163/32	47.166.204.110/32	0 : 65535	8080 : 8080	0x06/0xFF	0x0000/0x0000	
18.108.12.163/32	97.54.214.139/32	0 : 65535	23 : 23	0x06/0xFF	0x0000/0x0000	
29.116.69.98/32	97.54.220.10/32	0 : 65535	161 : 161	0x11/0xFF	0x0000/0x0000	
29.8.0.55/32	79.40.182.62/32	0 : 65535	143 : 143	0x06/0xFF	0x0000/0x0000	
29.8.0.55/32	47.166.204.110/32	0 : 65535	1433 : 1433	0x06/0xFF	0x0000/0x0000	
29.8.0.55/32	47.166.204.110/32	0 : 65535	514 : 514	0x06/0xFF	0x0000/0x0000	
29.8.0.55/32	67.239.128.12/32	0 : 65535	383 : 383	0x06/0xFF	0x0000/0x0000	
29.8.0.55/32	47.166.204.110/32	0 : 65535	3015 : 3015	0x11/0xFF	0x0000/0x0000	
29.8.0.55/32	47.166.204.110/32	0 : 65535	5002 : 5002	0x06/0xFF	0x0000/0x0000	
29.8.0.55/32	67.239.129.227/32	0 : 65535	514 : 514	0x06/0xFF	0x0000/0x0000	
29.8.0.55/32	222.13.242.212/32	0 : 65535	9993 : 9993	0x11/0xFF	0x0000/0x0000	
24.33.13.191/32	47.166.204.110/32	0 : 65535	3337 : 3337	0x06/0xFF	0x0000/0x0000	
24.33.13.191/32	22.101.171.159/32	0 : 65535	80 : 80	0x06/0xFF	0x0000/0x0000	
24.33.13.191/32	47.166.204.110/32	0 : 65535	514 : 514	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	17.114.120.207/32	0 : 65535	754 : 754	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	67.225.191.225/32	0 : 65535	3015 : 3015	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	68.46.2.24/32	0 : 65535	3300 : 3300	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	68.46.2.221/32	0 : 65535	37 : 37	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.22.155.250/32	0 : 65535	8080 : 8080	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	69.22.10.166/32	0 : 65535	88 : 88	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	27.248.246.77/32	0 : 65535	69 : 69	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	9993 : 9993	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.76.224.16/32	0 : 65535	37 : 37	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	27.248.246.77/32	0 : 65535	80 : 80	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	5100 : 5100	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.76.234.220/32	0 : 65535	23 : 23	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	69 : 69	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.76.234.220/32	0 : 65535	3106 : 3106	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	514 : 514	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	18.96.235.234/32	0 : 65535	2105 : 2105	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	69.76.234.220/32	0 : 65535	3456 : 3456	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.76.234.220/32	0 : 65535	53 : 53	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	222.205.142.22/32	0 : 65535	5050 : 5050	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	222.205.6.40/32	0 : 65535	3000 : 3000	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	53 : 53	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	27.248.246.77/32	0 : 65535	80 : 80	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	27.248.246.77/32	0 : 65535	139 : 139	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.59.8/32	0 : 65535	53 : 53	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.59.8/32	0 : 65535	3015 : 3015	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.65.250/32	0 : 65535	5050 : 5050	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.65.191/32	0 : 65535	3350 : 3350	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.65.191/32	0 : 65535	80 : 80	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	5719 : 5719	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	5555 : 5555	0x11/0xFF	0x0000/0x0000	
251.236.32.130/31	222.205.15.137/32	0 : 65535	6555 : 6555	0x11/0xFF	0x0000/0x0000	
151.139.183.242/31	182.153.183.8/32	0 : 65535	3106 : 3106	0x06/0xFF	0x0000/0x0000	
68.45.141.202/31	97.31.220.38/32	0 : 65535	2345 : 2345	0x11/0xFF	0x0000/0x0000	
110.210.238.128/31	43.198.218.117/32	0 : 65535	514 : 514	0x06/0xFF	0x0000/0x0000	
110.210.238.128/31	69.69.67.242/32	0 : 65535	29301 : 29301	0x06/0xFF	0x0000/0x0000	
97.29.114.134/31	97.29.77.20/32	0 : 65535	3116 : 3116	0x06/0xFF	0x0000/0x0000	
97.29.86.240/31	47.166.204.110/32	0 : 65535	443 : 443	0x06/0xFF	0x0000/0x0000	
97.29.47.138/31	47.166.204.110/32	0 : 65535	514 : 514	0x11/0xFF	0x0000/0x0000	
97.29.47.138/31	47.166.204.110/32	0 : 65535	4001 : 4001	0x06/0xFF	0x0000/0x0000	
97.29.47.138/31	47.166.204.110/32	0 : 65535	135 : 135	0x06/0xFF	0x0000/0x0000	
97.29.47.138/31	47.166.204.110/32	0 : 65535	80 : 80	0x06/0xFF	0x0000/0x0000	
18.108.12.160/31	18.110.39.47/32	0 : 65535	8200 : 8200	0x06/0xFF	0x0000/0x0000	
29.116.82.200/31	47.166.204.110/32	0 : 65535	139 : 139	0x11/0xFF	0x0000/0x0000	
29.8.0.52/31	67.239.128.92/32	0 : 65535	20555 : 20555	0x06/0xFF	0x0000/0x0000	
29.8.0.52/31	67.239.128.94/32	0 : 65535	7000 : 7000	0x06/0xFF	0x0000/0x0000	
29.8.0.52/31	47.166.204.110/32	0 : 65535	69 : 69	0x06/0xFF	0x0000/0x0000	
24.33.13.188/31	67.225.173.154/32	0 : 65535	3333 : 3333	0x11/0xFF	0x0000/0x0000	
25.238.136.72/31	68.45.217.185/32	0 : 65535	139 : 139	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	69.22.147.208/32	0 : 65535	8123 : 8123	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	19.239.241.80/32	0 : 65535	25 : 25	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	222.205.142.22/32	0 : 65535	9910 : 9910	0x11/0xFF	0x0000/0x0000	
25.238.136.72/31	222.205.142.22/32	0 : 65535	88 : 88	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	222.205.142.22/32	0 : 65535	80 : 80	0x11/0xFF	0x0000/0x0000	
25.238.136.72/31	222.205.142.22/32	0 : 65535	7115 : 7115	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	222.205.142.22/32	0 : 65535	161 : 161	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	47.166.204.110/32	0 : 65535	1825 : 1825	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	69.69.64.86/32	0 : 65535	3300 : 3300	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	47.166.204.110/32	0 : 65535	6123 : 6123	0x11/0xFF	0x0000/0x0000	
25.238.136.72/31	27.248.246.77/32	0 : 65535	443 : 443	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	69.69.67.242/32	0 : 65535	514 : 514	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	27.248.246.77/32	0 : 65535	69 : 69	0x06/0xFF	0x0000/0x0000	
25.238.136.72/31	69.69.67.242/32	0 : 65535	123 : 123	0x06/0xFF	0x0000/0x0000	
73.135.226.23/32	97.22.2.146/32	0 : 65535	20 : 21	0x06/0xFF	0x0000/0x0000	
98.119.39.95/32	69.69.67.242/32	0 : 65535	137 : 138	0x06/0xFF	0x0000/0x0000	
98.119.39.95/32	47.166.204.110/32	0 : 65535	137 : 138	0x06/0xFF	0x0000/0x0000	
97.29.47.137/32	47.166.204.110/32	0 : 65535	2010 : 2011	0x11/0xFF	0x0000/0x0000	
29.8.0.55/32	79.109.118.117/32	0 : 65535	20 : 21	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	47.166.204.110/32	0 : 65535	20 : 21	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.67.242/32	0 : 65535	760 : 761	0x06/0xFF	0x0000/0x0000	
68.45.75.7/32	251.215.8.194/31	0 : 65535	8080 : 8080	0x11/0xFF	0x0000/0x0000	
68.45.156.142/32	251.215.8.194/31	0 : 65535	4321 : 4321	0x06/0xFF	0x0000/0x0000	
110.210.238.131/32	43.198.218.118/31	0 : 65535	5190 : 5190	0x06/0xFF	0x0000/0x0000	
97.29.47.136/32	97.29.77.22/31	0 : 65535	514 : 514	0x06/0xFF	0x0000/0x0000	
97.29.47.136/32	47.166.204.108/31	0 : 65535	7000 : 7000	0x11/0xFF	0x0000/0x0000	
97.29.47.136/32	47.166.204.108/31	0 : 65535	5190 : 5190	0x11/0xFF	0x0000/0x0000	
97.29.47.137/32	69.69.67.240/31	0 : 65535	53 : 53	0x06/0xFF	0x0000/0x0000	
97.29.47.137/32	47.166.204.108/31	0 : 65535	29301 : 29301	0x06/0xFF	0x0000/0x0000	
97.29.47.137/32	69.69.67.240/31	0 : 65535	3501 : 3501	0x11/0xFF	0x0000/0x0000	
18.108.12.163/32	221.230.129.80/31	0 : 65535	123 : 123	0x11/0xFF	0x0000/0x0000	
18.108.12.163/32	47.166.204.108/31	0 : 65535	80 : 80	0x11/0xFF	0x0000/0x0000	
24.33.13.191/32	67.225.191.230/31	0 : 65535	53 : 53	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	67.225.191.226/31	0 : 65535	3106 : 3106	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	69.76.234.222/31	0 : 65535	7000 : 7000	0x11/0xFF	0x0000/0x0000	
25.238.136.74/32	69.69.64.84/31	0 : 65535	5190 : 5190	0x06/0xFF	0x0000/0x0000	
25.238.136.74/32	222.205.15.138/31	0 : 65535	1701 : 1701	0x06/0xFF	0x0000/0x0000	
